scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,1066.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1067.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1068.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1069.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1070.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1071.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1072.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1073.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1074.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1075.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1076.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1077.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1078.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1079.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1080.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1081.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1082.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1083.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1084.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1085.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1086.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1087.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1088.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1089.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1090.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1091.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1092.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1093.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1094.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1095.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1096.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1097.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1098.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
